index,dialogue_id,Q-3,Q-2,Q-1,A
1674010,MDRW2100037135.1,우유 대신 두유인가보네요 ㅎㅎ 그냥 두유도 종종 드세요?,두유를 제가 사먹지는 않는데 오늘 그냥 갑자기 두유를 선택해봤거든요! 와... 아니 진짜 맛있어요ㅠㅠ,ㅋㅋ 감동적인 맛이었나보네요 전 서울대 약콩두유 달지도 않고 비리지도 않아서 좋더라구요 카페에서는 아무래도 매일 꺼 쓰려나요?,약콩두유 이름은 많이본것 같아요! 아마 그렇지 않을까 싶어요 ㅎㅎ 달지도 비리지도 않구나!!
8623,Chat11625,응 얇고 길게 사는거지.,ㅋㅋㅋ.난 짧고 굵게 살건데.,뭐야 나랑 정 반대잖아.,ㅋㅋ난 오래사는건 싫어.
1599320,MDRW2100031748.1,조금 쎄하네요,그런데그런데 그 둘째가 얼굴이 외모가 좀 그랬나 봐요,어른이 소개해 주면 신뢰가 안 가요,제 친구가 외모는 마음에 들지 않았지만 인사 같은 성격에 조금 반에서 몇 번 만나 봤다고 하네요
1591148,MDRW2100031166.1,오 저도 밀떡이요!! 쌀떡은 너무 쫀득쫀득하지 않아요?,쌀떡은 뭔가 식감이 답답하다고 해야하나? 좀 간도 잘 안베어서 별로더라구요,밀떡은 씹히는대로 씹혀서 좋은거 같아요,맞아요 간도잘베고 그냥 호로록 들어가져요 저녁 드셨나요??
1480655,MDRW2100023586.1,,몇년전에 힙합공연 갔었는데 그때 너무 재밌게 놀아서 제일 기억에 남아요 혹시 영화나 전시회도 좋아하세요?,영화는 이시국 이후라 안갔구요.. 그 전에도 잘 안갔어요.. 한때 하루에 두편씩도 본적 있다가.. 어느 순간 흥미를 잃었네요..ㅎㅎ 영화 좋아하세요?,저도 코로나 이후로는 안갔어요 예전엔 대작들 위주로 유명한것만 보구요
244565,HuLiC487,좋은 지적입니다. 보육은 보통 가족이나 다른 가족 구성원에 의해 제공됩니다.,싱글맘이나 싱글 대디도 많긴 하지만 말이야.,미국에서 싱글맘은 SAHM으로 가장 흔히 언급됩니다.,줄임말 이겠지? 어느 나라에서든 싱글 맘의 역할은 쉽지 않겠지?
234057,HuLiC4627,안갔어 거길 내가 왜가 돌아와서 일하기 바쁜날이었어,그 말을 들으니 유감이네요. 당신은 어떤 일을 하세요?,아 택배 우선 친했던 동료가 맡아준대 ㅠ,수고 많으셨을 것 같네요. 당신의 직업이 마음에 드세요?
1441976,MDRW2100020908.1,와 축하드려요 ㅎㅎ 항상 올클 하세요?,네 용병 써서 같이 하거든요,용병은 어떻게 쓰는거에요?,같은 아이디로 접속해서 수강신청하는거예요
1679676,MDRW2100037554.1,아..심오하네요 전 그냥 같이 살고 싶다고 까지 생각드는 사람이 없던데ㅋㅋ,전 대충살아요 0.45인분,0.55는 어디갔나요?,어제는 방바닥 닦았으니 0.7인분
1327614,MDRW2100012987.1,다양하게 해요. 요샌 레이싱 게임이요! 하시는 게임 있나요?,전 모바일은 쿠키런 최근에 복귀했고 롤 자주해요!,쿠키런은 심심할때 깔아보는거 같아요. 요새 쿠키런 킹덤 하는 사람도 많더라구요,맞아요 쿠킹덤 하시나요??
689769,MDRW2100000104.345,에휴시바..이게뭐고 도대체?,ㅠㅠ 괜찮아 name1이 닥토닥토 그리고 저거누가정리한건진 몰라도 20퍼라니... 신용이없어,성과급도 0원인게 어마무시하군,0원이라고 저기적혀있어? 선과급얘기는없던데
1546477,MDRW2100028059.1,좀더 활동적이죠 ㅋㅋ네네,재밌을 거 같아요 진짜... 근데 연뮤 덕질하면 한달에 얼마정도 쓰세요? 헉 이런 질문 해도 될까요?!,괜찮아욬ㅋ 많이쓰면... 공연하나에 5만원쯤이라 순수하게 공연보는것만 보통은 50선..?,"우와 앞자리 잡으면 더 비싸지 않나요? 가격이 만만치가 않더라구료,,"
101212,HuLiC1561,당신이 필요로 했던 도움을 받아서 기뻐요. 허리 통증은 너무 쇠약해질 수 있어요.,내일 또 짐 들어야하는데 벌써 걱정이다,"저런, 안됐군요. 당신이 그것을 빨리 처리할 수 있기를 바랍니다.",허리통증 줄이는데 도움이 되는게 뭐가 있을까?
1443133,﻿MDRW2100020991.1,,,안녕하세요? 지금 시간 괜찮으신가요?,네~ 음악영상이 주제네요~ 어떤 장르 음악이나 영상 좋아하세요? 잘 보시는 유튜브도 좋구요
1305050,MDRW2100011364.1,어떤건가요?,볼캡이랑 숏비니요!,숏비니라 대단하네요,ㅋㅋㅋㅋㅋㅋ 왜요?
750584,MDRW2100000375.1,아니. 지금은 싱글이야 연애 너무 지겨워 name1는?,"연애가 지겨워? 나는 외로움을 많이타서,, 항상누가있어야 편하더라",지난 연애가 너무 힘들어서 지겨운 느낌이 있나봐! 맞아. 연애하면 그런 부분은 좋지!,제일 오래 연애했던게 얼마나돼?
1518108,﻿MDRW2100026117.1,,,트윈워시산거구나ㅋㅋㅋ 부럽다건조기..,나도이번에건조기처음사봐ㅋㅋㅋㅋ ㄲ 기대됭ㅋ
210230,HuLiC4077,"응 춤도 잘 추고, 노래도 잘해. 한국 가수들 중에 아는 사람있어?",나는 아는 한국 가수가 없어요. 좋아하는 가수가 누구인가요?,미국 가수 중에서는 마이클 잭슨을 제일 좋아하지..,당신은 그가 좋아하는 노래가 있나요?
267192,HuLiC5392,전 제 인생을 어떻게 살아야 할지 고민하고 있었어요.,아이고 취업 준비중이야?,"네, 저는 일자리를 찾고 있습니다. 추천해주실 수 있나요?",어떤 일을 하고 싶어?
1456930,MDRW2100021988.1,저두 학생때는 인문학 정말 배워보고 싶었어요 학교 다시 갈까도 생각해봤는데 고학생활 할 정도로 절실하진 않았는지 걍 평범하고 빠르게 취직하게 되더라구요...ㅎㅎ 그래서 넘 멋져요,ㅎㅎ 근데 말만 이렇지 사실 전 나태지옥 갈 인간이에요..,그런 사람이 원래 제일 부지런해요~~ 클라이밍 저 몇년 전에 3개월 정도 해봤는데 진짜 짧게 한 거라 어떻다 말은 못하지만 힘들고 재밌었어요,하핫 오 해보셨구나 진짜 재밌다고 하더라구오
1588517,MDRW2100030981.1,사람은군없을고같네요,또 어디 좋은곳 추천주셔요 아 원래는 일본도 가끔 갔었는데 ㅠㅠ,헐,아 저 먹는거 좋아해서 먹는거 위주로 여행 가는편이여요
1643998,MDRW2100034858.1,댄스곡은 신나는 게 좋죠!,음 그러면 세븐틴의 우리의 새벽은 낮보다 뜨겁다 들어보세요 !,네네 감사합니다ㅎㅎ 유튜브 자주 보시나요?,네 자주 봐요 ㅎㅎㅎ
859660,MDRW2100001383.1,거래도 24일쉬니깐그날을꿈꿔,25일 쉬어ㅜㅜ 우린 빨간날 안쉬자노,갑자기?,그래서 연차가 24일아니고 25일에 내려구 그냥 연차 1일도 못쓴거억울해서ㅋ
429589,HuLiC914,와... 화장실을 못갈정도로 바뻐?,"네, 할 일이 많아요. 그래도 저는 시간을 내려고 노력합니다.",너무 참으면 안돼! 안그러면 요도염 거릴수도 있어..,무슨 말인지 알겠어요. 책임감이 너무 많은 시간을 찾기가 힘드네요.
1732305,﻿MDRW2100041420.1,,,점심은드셨어요?,안먹었네요 점심 드셨나요?
1615212,MDRW2100032807.1,잘 참으셨네요... 액정으로 뛰어드시지만 않았어도 반은 가신 거예요,그쵸 제가 생각해도 전 참을성이 많아요,너무 젠틀하셨어요,은우가 화면에서 절 먼저 꼬셧는데 저 젠틀하게 안방에서 기다리잔아요 은우야 기다릴게
1930250,MDRW2100047083.1,근데 언니 군대갈생각했었엉??ㅋㅋㅋ,ㅋㅋ가고싶었음ㅋㅋ,허엉ㅋㅋㅋ 난 가는순간 기절할듯 ㅋㅋㅋ,ㅋㅋ엄청 잘할거 같은데 말뚝박을 체질ㅋㅋ
92086,HuLiC1350,"저도 라면 좋아해요. 저는 그것을 항상 먹는데, 특히 예산이 있을 때는 더 그렇습니다.",예산이 안 좋을 때 라면을 먹기 좋다는 말이야?,예산을 어디에 쓰느냐에 따라 다르겠죠. 라면은 직접 만드는 법을 안다면 아주 저렴할 수 있습니다.,라면을 직접 만들어? 마트에서 파는거 말고?
897958,MDRW2100001503.1,,"[업비트] 비기너 지원 생애 첫 원화 입금 BTC 2만원 에어드랍 이벤트 당첨 안내 비기너 지원 생애 첫 원화 입금 BTC 2만원 에어드랍 이벤트에 당첨되셨습니다. 당첨을 진심으로 축하드립니다. 회원님께는 2020.12.02 이내 지급시점 기준 2만원 상당의 BTC를 지급해 드리도록 하겠습니다.  보상 지급 여부 확인 방법 - BTC 입출금 내역을 통하여 확인 가능합니다.  BTC 지급 일시 : 2020.12.02 이내 *당첨 안내는 지급일에 업비트 홈페이지 공지사항을 통해 업데이트 드립니다.  유의사항 - 1회 입금액이 20만원 이상인 경우에만 정상 참여로 인정되며, 누적 입금액 20만원 이상이라도 1회 입금액이 20만원 미만인 경우 참여 대상에서 제외됩니다. - 이벤트 종료 시점 이전(2020-11-30 23:59:59)까지 원화 및 디지털 자산 출금 이력이 있는 경우 지급 대상에서 제외됩니다. - 에어드랍 지급 시점은 당사 사정에 의해 변경될 수 있습니다",엄마 이거 사줄까ㅣ?,오 좋다 그거 장판 버리고 저거 쓰라헤
753064,MDRW2100000521.1,첨에는 진짜 어려웠는데 3개월 정도되니 괜찮아졌어요,3개월이면 그래도 꽤 하셨네요!! 건강에도 많이 도움될것같아요!,맞아요. 골반 틀어짐 같은게 많이 좋아지더라구요 좋아지는게 느껴져서 더 열심히 하게 되어요.,저도 허리가 항상 굽어있다고 생각이들어서 관심이 많았는데 한번시도해보고 싶어요!
788186,MDRW2100001160.27,자기 장이 안에서 많이 부풀어오른거 아니야? 푸룬주스좀 마셔야하나?,모르겠네 뮤ㅓㄴ지ㅠㅠ 일단 밥 먹을게,응 밥 따뜻해?,아니 안따뜻해....
122148,﻿HuLiC2044,,,손톱이 조금 밋밋한데 네일을 해볼까?,가끔 매니큐어를 받으면 좋을 것 같아요.
1173112,MDRW2100002273.1,업무량이 많다보니 네네ㅎ,여수나 포항 이런 곳에 계세요? 또 배가 어디있지?,전 광양이요ㅎㅎ,아! 광양!!!
1496238,MDRW2100024605.1,올해는 단풍구경갈수있으면 좋겠어요,맞아요 단풍구경 가고 싶어요 어디 공원이라도 나간다던가,겨울되기전에 가을옷도 입구요 아깝지않게!,맞아요 가을옷의 가치를 살려야죠
305023,HuLiC6265,응~ 지금 찾아서 코 막고 있어,좋아요. 당신이 병원에 가지 않았으면 좋겠어요.,나도 금방 코피가 멈췄으면 좋겠어..,죄송해요. 빨리 멈췄으면 좋겠어요.
1761729,MDRW2100043565.1,,놀토재밋어서 챙겨봐요,아하 저도 놀토 보긴보는데 게스트 재밌을거 같은사람 나오는편만 봐여 ㅋㅋㅋ 최근에는 안봤는데 재밌는편 있었나요?,전 다재미잇어서 안빼놓고 봐요ㅋㅋ 맛녀석도 좋아해요 전
136795,HuLiC2382,아 너도 그랬어?? 난 그냥 고등학교때 딱히 대학교 자체에 대한 로망보다는 대학생 생활에 대한 기대가 많았던거 같아!,"네, 그랬죠. 그것은 오래 전 일이지만, 내 인생 최고의 시간이었어요.",아 넌 너의 대학생때 시절이 제일 그리워?,"네, 있습니다. 돌아가서 처음부터 다시 할 수 있었으면 좋겠어요. 당신은요?"
1836511,MDRW2100047018.1,시원한 맛,다 내스탈이야,난 옆에서 뭐 시켯지 그럼,넌 도수 제일 센거
1399747,MDRW2100017984.1,아ㅜ 생각만으로도 떨려요 준비를해도 왜 말을 잘 못전하는지ㅠ,맞아요 ㅠㅠ 대본을 써도 힘들어요,알죠알죠ㅠ,차라리 자료조사가 전 백번 낫더라구요
892071,MDRW2100001500.1,아 name16가 집앞으로 왓다공 나도 차배터리 바꾸까?? 세진에 한번 물어봐줄램?,엉 ㅋㅋ name16 환경미화원됌 ㅋㅋ,아 붙었데?,name16가아닌디 전화와서 실수로처리되서 되븟단디 ㅋㅋ
143359,HuLiC2533,"남동생도 별로, 그냥 여동생이었으면 좋았을걸..",그 말을 들으니 유감이네요. 당신은 좋아하는 다른 형제자매가 있나요?,아니 없엉. 친척들하고도 안친하고. 난 가족이랑 안친한거 같아.,안됐군요. 당신은 당신의 가족과 조금이라도 가까운가요? 저는 형제가 둘 있는데 항상 싸워요.
1152232,MDRW2100001643.1,,,히 기여어 내찌끼 체고,하으 name2 보구찌퍼
717998,MDRW2100000200.7,,아 너한테 말해줄랬는데 코스트코 크로플 있길래 엊그제 갔다가 샀고든? 오븐에 데워먹었는데 진심 개 맛있어,헐 크로플? 코스트코에 그런게있어? 미친.. 그런데 우리집도 오븐 비슷한거 샀대 그런데 안써봤어..,ㅇㅇ 막 그 판매하시는 분이 오늘만 이 가격에 나옵니다 무지 맛있으니 안사고 후회하지마시고 사가세요 이러길래 혹해서 샀는데 잘샀다 싶음^_^
1113029,MDRW2100001625.1,삼중우만큼은아니자나 이쉑긴 상하방vi 존나 롤러코스터임,너는 상두번 찍었자나,지금실시간떨어지는중 90안오나,아니 십 상 한번은 가야지
1777872,MDRW2100044758.1,와 여름이면 라벤더 보셨겠네요,"네, 봤습니다 근데 좀 끝물이어서 그랬나 애들이 쬐금 시들했어요",앗 아쉬워라 도쿄에선 어디 가셨나요?,디즈니랜드요 ㅋㅋㅋㅋ
1406688,MDRW2100018458.1,저는 부산은 딱한번 너무 힘들게갓다왓엇어요. 차라리 경주가 더 낫더라고요,와 경주는 벚꽃이 예브다더라구요 부산은 많이 힘드셧나봐요 ㅜㅜ,ㅋㅋㅋ 진짜예뻐요ㅠㅠ ㅋㅋㅋ 그 첨성대쪽에 참 예뻐요 경포대 벚꽃보다 예쁘더라고요,헐헐 넘 가보고 싶어요 사람 많앗나요?
731659,MDRW2100000245.105,오늘은 안되잖아,응 오늘은 낮도 밤도 안되고,내일은?,내일 저녁엔 괜찮으네
1227102,MDRW2100005944.1,부대찌개도 요세 밀키트나 배달 되던데 함보세요!,아진짜요? 배달의민족인가요? ㅋㅋㅋ,네 전 배민에서 저번에 부대찌개 한번 시켜먹어봤어요 ㅋㅋ 근데 맛있더라고요 예상외로.. 간도 맞고 햄이랑 배합도 잘되있어서 꽤놀랬다는 ㅋㅋㅋ,오~~다행이에요 맛있겠답 군침도네요
1337543,MDRW2100013669.1,배고프네요... 오늘저녁에햄버거먹을꺼에요,맛있겠어요ㅋㅋ 맘터?,라면이랑 같이 먹을려구요 KfC꺼요ㅋㅋㄱㅋ,kfc 희귀한데!!!!
1178782,MDRW2100002648.1,맥주는 필수죠~~!!,맥주는 어디꺼 즐겨드시나요?,쏘맥먹을땐 테라 먹구요~,테라 ~ 가격도 착하고 맛도좋더라구요
186937,HuLiC354,집에 있을 때 주로 뭐하면서 놀아?,저는 고양이들과 시간을 보내고 노는 것을 좋아합니다. 애완동물이 있나요?,나는 강아지도 키워 풍산개 ㅎㅎ,그것은 멋지네요. 나는 고양이와 개를 키워요. 어떤 종류의 개인가요?
1333269,MDRW2100013396.1,전 추천해요! 여행지라 그런지 대만 사람들도 굉장히 친절하고 좋더라구요 name2은 혹시 앞으로 여행하고 싶으신 나라가 있나요??,저는 name1이 말씀하신 대만도 가보고싶고 스페인 가보고싶어요!!,스페인은 왜요?? 특별한 이유가 있으세요??,건축물이요!! 가우디 건축물 보러가고싶어요
98223,HuLiC1492,맞아요. 나는 고양이 두 마리와 강아지 한 마리를 키워요. 너무 좋아요. 당신은 어떤 종류의 애완동물을 기르나요?,강아지와 고양이중에 어떤 애완동물을 좋아하시나요?,저는 개를 많이 좋아하지만 고양이도 좋아합니다. 저는 살면서 고양이와 개를 모두 키웠습니다. 당신은요?,"저도 살면서 강아지를 키워봤지만, 그 아이가 죽은 후로는 키우지 않습니다."
1613106,MDRW2100032669.1,네 빈말이에요,그렇군요,졸업했죠 넹 시험 언제 마지막으로 보셨나요,학업 스트레스 있으셨나요 저는 한 10년 됐죠
1247453,MDRW2100007367.1,맛있죠!! 부산은 너무 맛있는게 많아요 호떡 좋아하는데 거기가 또 씨앗호떡 맛집이잖아요~,아 그러게요!!!! 맛있겠다,또 부산에 맛있는게 아!! 낙곱새죠 낙곱새,개미집이에요?ㅋㅋㅋ
220946,HuLiC4324,너무 빨리 끝나면 어떻게 될까요?,기준금리도 오르고 물가도 더 오르지 않을까?,난 그렇게 생각 안 해요. 기준금리는 시장이 아니라 중앙은행이 정하는 것입니다.,"기준금리를 중앙은행에서 올리면, 시장의 물가도 따라 오르는 법이야."
1929880,MDRW2100047082.1,탈줄하고싶은가 다 담장밖으로,이사가니깐 풍경이 눈에 들어와?,나이들어그래ㅋㅋ,풉ㅋㅋㅋㅋㅋ
1832784,MDRW2100047017.1,연예인들 마스크 안쓰고 일하니까,일단 스케쥴도 문제고,안걸리는게 신기항정도지 사실,당장 이번달 뮤지컬 시작인데
798785,﻿MDRW2100001225.115,,,아... 다리가 너무 후들거려서 안타까워보였어..,다다다다다음에 만났을 때 뒷산이긴하지만 나 이기면 뭐해준다 했는데
1934434,MDRW2100047087.1,그게 언제야 ㅎㅎ 어묵은 얇은걸로,악 ㅋㅋ마자싸구려어묵,울동네 재래시장에 맛난어묵있어.. 군산에 동양어묵도 맛있는데 ㅎㅎ 여행가구싶네,우와..군산ㅋㅋ 안가봄
1635652,MDRW2100034226.1,밖에 나가야지 입고 나가지...어제 반팔이랑 기모맨투맨 포인트로 샀다,옷 많다면서 사기는 샀네ㅋ,포인트 때문에 ㅜ.ㅜ 젤 만만한게 옷이다,난 맨날 입는 옷만 입어지드라
1282571,MDRW2100009736.1,아니요 name1님은요?,저는 지금 학생이어서 이제 곧 개강이에요,어우 개강이라니 방학이 끝나가는군요,학교생활하신지 오래되셨나요?
1867467,MDRW2100047031.1,ㅎㅎ,아,어린애들은 몰라도돼,눈없새여서 내일은 내가갈게 공주는 쉬어
11110,﻿Chat12177,,,어떤 영화를 찍느냐는 중요해.,무슨 소리야?
844207,﻿MDRW2100001379.46,,,모다아울렛 갔다왔어요,오늘 갔다왔어
197202,HuLiC3777,그럼 우리 다음주에 만나 ! 난 요새 아무것도 안하고 집에있어서 시간이 많거든.,듣던 중 반가운 말이네요. 당신은 자유시간에 무엇을 하는 것을 좋아하나요?,넌 요즘 무슨일해? 저번에 다니던 회사는 그만둔거야?,"아니요, 저는 여전히 같은 회사에서 일합니다. 예전만큼 자유 시간이 많지 않을 뿐이에요."
133849,HuLiC2314,,이번 주말에 뭐해?,해변에 갈 거예요! 빨리 집에서 나가고 싶어요!,해변? 어디말하는거야?
342590,HuLiC7131,요즘엔 날씨도 춥고 코로나때문에 돌아다니기도 힘들어서 그냥 집에서 티비보고 게임하고 그래,오늘 하루를 보내기에 아주 좋은 방법인 것 같네요. 당신은 텔레비전에서 무엇을 보는 것을 좋아하나요?,텔레비전에서 축구경기 보는것을 좋아해. 특히 잉글랜드 프리미어리그를 즐겨봐,당신이 가장 좋아하는 축구팀은 어디인가요? 저는 맨체스터 유나이티드입니다. 축구를 할 줄 알아요?
1289910,MDRW2100010268.1,저두 기회가되면 스페인이나 스위스 다녀오고싶어요 이때 여행경비 많이 모아놔야겠어요,맞아요 저도 여행용으로 모으는중이에요ㅠ,유럽 음식 입맛에 맞으셨어요?,음 아뇨...그냥 빵이 제일 맛있었네요ㅎㅎ
898300,MDRW2100001503.1,어디,어무데나,아 gs밖에없음,좋아 학교옆이야 ㅎ
1925352,MDRW2100047078.1,예스 야 큰일났다ㅠ~ 망했군.. 변화구제구 안되고 치기좋게 공이 들어옴..,"어우 그래도 무실점이네 이번이닝 기적의무실점,, 시환이가 1선발 공도 뻥뻥칠수잇엇음조좋겟다,,",지금대로면 걍 유희관 은퇴반대 유희관 우리랑만 만나줘요 기도해야함 초구치는 야구선수 예으ㅣ없다,그..시환이 번트햇어..? why
79409,HuLiC1058,어떤 음식을 먹고 싶은지 관심 없어요. 그게 뭐든 상관없어요 건강하기만 하다면요,먹는거 중요하지~ 편의점 음식 먹어봤니?,있긴 한데 별로 안 좋아해요. 저는 식당에 가는 것을 선호합니다.,맞아 나도 편의점 음식은 잘 안먹는 것 같아 특히 도시락은 맛이없어
375092,HuLiC7882,오오 꽤 높다 ㅎㅎ,그치 ㅋㅋ 내 친구들도 이 영화 많이 보긴 했음,ㅋㅋㅋ친구들도 재밌었대?,응 친구들이 무슨 반전 있다고 했던 것 같은데
1820150,MDRW2100046953.1,갠찬 에프킬라 필요하니,아뇨 근데 물파스틑 필요할듯 ㅋ,그렇군 물파스잇자나 안나오니,사실 모기도안물립니당 ㅋ
1503000,MDRW2100025068.1,그럼 좋겠는데 변이 때문에..,아... 델타변이 무섭더라,네 친구 일본 살잖아. 거기는 지금 어떻대?,우리나라보다 심각한 것 같아 그런데 그 친구가 나중에 오면 관광시켜준다고 했어
785765,MDRW2100001157.193,ㅋㅋㅋ 아그래ㅋㅋㅋ,이번에해보고,선물하기로쏘께 오키킹,힘들면말하께ㅋㅋ
448279,﻿altergo_b.571,,,지마켓 장바구니에 원피스를 넣었어.,오. 언제 구매하려고?
1169398,MDRW2100002034.1,요즘 업무 스트레스가 좀 있는 편인데 직장 생활 잘하는 꿀팁 알고 있는거 있나요?,업무스트레스라면 어떤거 말씀하실까요? 보통 회사는 업무스트레스보다 사람과의 관계가 힘든거 같아요,그렇죠.. 아직 인수인계 받은지 얼마 안됐는데 한 번 알려주고 제가 다 아는것 처럼 대하니까 다시 물어보기도 민망한 그런 상황들이 좀 있어서요..,아..저도 그 상황 알아요. 본인은 하던 일이고 아는 거라 휘리릭 말하지만 첨 듣는 사람은 바로 알기 힘들죠.
735329,MDRW2100000247.83,저 해는 진짜 내 인생에 없으면 안될 해 임..,나는 네가,다행히 또 대부분 성공적으로 끝남,내가 여행가자고 휴학하라고 꼬드길 때 진짜 휴학할 거라는 기대는 크게 안 했는데 (얘를 꼬드길 때 누구보다 적극적으로 꼬드기지만 기대는 크게 안 하는편)
1529917,MDRW2100026920.1,오ㅋㅋ라면좋지ㅋ 어떤거?ㅋㅋ,나는짜파게티,짜파게티 맛있어ㅋㅋㅋ,ㅋㅋㅋ나는얼마전라면끓이다망함ㅋㅋ
388613,HuLiC8194,난 충분히 이해한다 그 감정,그래도 축하는 해 줘야하는거 아닌가??,그렇게 단순한 문제는 아냐 ㅜㅜ,뭐.. 잘 모르겠네..
692277,MDRW2100000104.67,겪어봐야알겠지만 그래도,근데 웃긴건,이사람이 추구하는 방향성과,엠비티아이를 안해보는 사람은
1357964,MDRW2100015048.1,아직 허락 못받았다 이제 미드나잇 촬영 남음,아 허락은 못받았지만 이미 결정내렸넹,엌ㅋㅋㅋ 이제 이거 하고 예스올노 할거야수지,ㅋㅋㅋㅋㅋ과감한추진력 수지? 친구랑계속같이?
359944,HuLiC7532,응 깊이 있는 메세지가 담겨 있는 영화라고 생각해.,넌 영화에 많이 공감했어?,응~ 뭐 공감되는 부분도 있고 아닌 부분도 있었지만 어쨌든 추천해!,오케이~ 다시 쫌 톡톡 튀는 재미가 있는 하이틴 영화 있어?
892091,MDRW2100001500.1,뭘,저녁에 ㅋㅋ,다크 오빠 저녁 출근이램ㅋㅋ 갈람 가고,참눼.. 바로못가지 그럼 약속잇는착하고가야겟음
1434544,MDRW2100020400.1,,안녕하세요,안녕하세요,아픈곳 있으세여?
447440,altergo_b.27,,전화 걸어도 됨?,나 지금 지하철 타고 가는 중이야.,언제 내려?
1078649,MDRW2100001607.1,웅 나도 여섯시되야 끝날 것 같아요 땀 엄청 흘려따..,앙구내채키 씻으러가까?,호호호,땀흘렸으니 찝찝할거아니야아
993953,MDRW2100001554.1,사람도 만나면 참 좋겠다고 생각 ㄱ-,난 공기청정기 앞이여서,그러나,괜찬ㄹ음 아 ㅅㅂ
180786,HuLiC3398,그는 영국의 가수이자 작곡가입니다. 그는 1985년에 태어났습니다.,영국 가수나 작곡가에 대해서 많이 알고 있구나?,"네, 그들에 대해 꽤 많이 알고 있어요. 좋아하는 밴드 있으세요?",한국 밴드로 생각나는건 체리필터나 자우림?
187102,HuLiC3543,"저는 평생 안경을 써왔지만, 렌즈를 착용한 적은 없습니다.",안경 쓰는게 불편하다고 느낀 적은 없었어?,"아니요, 안경이 불편해 본 적이 없어요. 저는 예전에 선글라스를 써본 적이 있어요.",시력이 좋은 건 타고나는 것도 있는 거 같아
657150,﻿MDRW2100000057.83,,,클렌즈쥬스같은거 들어왔는데 한개 갖다죠?,호? 그게 모야;
189611,HuLiC3600,나도 이매진 드래곤의 팬이야 그 밴드의 노래에는 에너지가 있어서 좋아,"Imagine Dragons는 제가 가장 좋아하는 밴드 중 하나입니다. 저는 그들의 노래 ""Radioactive""를 좋아해요.",그래 그래 너 많이 좋아하는 거 알았어 ㅋㅋ 이매진 드래곤 내한하면 꼭 공연보러 가자,콘서트에 가고 싶지만 돈이 별로 없어요.
